age_group,total,selected,selection_rate,impact_ratio,status
Entry/Gen Z,56834,40080,0.7052116690713306,0.9983223293741459,✅ PASS
Mid-Career/Millennial,143166,101132,0.7063967701828646,1,✅ PASS
